k,dist,meth,sil
6,maximum,single,0.15384985937572881
6,minkowski_1.5,median,0.1519627316283559
5,minkowski_1.5,median,0.15183157746078574
10,canberra,ward.D,0.15012067267376616
5,canberra,ward.D,0.1501043193108255
9,canberra,single,0.14984380984456702
9,minkowski_0.5,centroid,0.14857175168444145
6,canberra,centroid,0.1467843211817093
3,canberra,ward.D,0.14253459475765196
10,canberra,single,0.14048147300009867
6,euclidian,median,0.13454463114172902
4,canberra,ward.D2,0.13432913492425522
9,minkowski_1.5,median,0.12832579954965626
8,manhattan,single,0.12621900012563286
8,maximum,single,0.12547147878957296
5,canberra,centroid,0.12152327793765397
4,canberra,ward.D,0.12004343942984533
7,manhattan,single,0.11922988435961136
4,minkowski_1.5,median,0.11817310491461919
8,canberra,centroid,0.11605312861454996
9,canberra,centroid,0.1135889072573992
6,maximum,median,0.1129008505737664
10,canberra,centroid,0.10819964568443127
2,canberra,ward.D,0.10809294052402223
9,maximum,single,0.10582256855546841
7,canberra,centroid,0.10532760642927416
10,maximum,median,0.1040836105928249
10,euclidian,single,0.10349280992782171
10,euclidian,median,0.10316075173960834
6,manhattan,single,0.1005884911979247
9,manhattan,single,0.09986704846949764
7,maximum,single,0.09778027761035749
7,canberra,median,0.09741813817818575
5,minkowski_0.5,centroid,0.09664351266737027
10,minkowski_1.5,median,0.09574850779216576
3,manhattan,median,0.09555440887265138
9,minkowski_1.5,centroid,0.09505584706319603
10,maximum,single,0.09199349596602732
9,minkowski_0.5,median,0.08729266163336778
5,minkowski_0.5,single,0.08571311057651711
10,canberra,median,0.08309865272676445
10,minkowski_0.5,median,0.08270206148397712
9,canberra,median,0.08201532065826161
6,canberra,median,0.0819200727413004
7,maximum,median,0.07583156403467231
7,euclidian,median,0.07571753136862708
8,minkowski_0.5,median,0.07529824215460895
2,canberra,median,0.07285881051837745
4,minkowski_0.5,single,0.06875807327598192
8,manhattan,centroid,0.06651843604787594
8,canberra,median,0.0628945101877999
8,maximum,median,0.06235293785852631
9,minkowski_1.5,single,0.059491152261549475
9,manhattan,centroid,0.05872861091803971
7,minkowski_0.5,median,0.05773706023022521
3,canberra,median,0.05572484202923123
10,manhattan,single,0.055610337717025095
9,maximum,median,0.05181132118197253
4,canberra,median,0.04985784392277722
5,canberra,median,0.04686861796466864
9,euclidian,median,0.044473787719939505
5,manhattan,median,0.044361833279321736
6,minkowski_0.5,centroid,0.04406690852489081
10,manhattan,centroid,0.039571327610781463
10,minkowski_1.5,single,0.03720285711277211
10,manhattan,median,0.0368296228328906
8,euclidian,median,0.03364596117977828
4,manhattan,median,0.033160977379341317
7,minkowski_0.5,centroid,0.02579223508709067
6,minkowski_0.5,single,0.024905898877168528
6,manhattan,median,0.023825879519854178
7,manhattan,median,0.019182207162442285
4,minkowski_0.5,median,0.014605687136670724
8,manhattan,median,0.011501854312080536
8,minkowski_0.5,centroid,0.009936482460550174
9,manhattan,median,0.007155918676976442
9,minkowski_0.5,single,-0.0028443824944684747
10,minkowski_0.5,single,-0.0028977099165509623
7,minkowski_0.5,single,-0.022772345370267805
5,minkowski_0.5,median,-0.050188286755960765
6,minkowski_0.5,median,-0.06275517076880545
8,minkowski_0.5,single,-0.08571881736685291
